0,1,2,3,4,5,6,7,8,9,10,11
"('', '/md5/5ac717da3e55abb94a92788586805b13')","('Glory days : Bruce  Springsteen in the 1980s', '/md5/5ac717da3e55abb94a92788586805b13')","('Marsh, DaveDave Marsh', '/md5/5ac717da3e55abb94a92788586805b13')","('New York: Pantheon  Books, 1st ed., New York, New York State, 1987Alfred A. Knopf Books for Young  ReadersRandom House,  IncorporatedRandom House  AudioBooksUnited States, United  States of America1st ed, New York,  c1987New York, Unknown,  19871st ed, NY, 19751st, 1987-04-12', '/md5/5ac717da3e55abb94a92788586805b13')","('19871975', '/md5/5ac717da3e55abb94a92788586805b13')","('ia/glorydaysbrucesp00mars.pdf', '/md5/5ac717da3e55abb94a92788586805b13')","('ðŸš€/duxiu/ia', '/md5/5ac717da3e55abb94a92788586805b13')","('en', '/md5/5ac717da3e55abb94a92788586805b13')","('ðŸ“—\xa0Book  (unknown)', '/md5/5ac717da3e55abb94a92788586805b13')","('pdf', '/md5/5ac717da3e55abb94a92788586805b13')","('51.6MB', '/md5/5ac717da3e55abb94a92788586805b13')","('', '/md5/5ac717da3e55abb94a92788586805b13')"
"('', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('Runaway American  dream : listening to Bruce Springsteen', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('Guterman, JimmyJimmy Guterman', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('Cambridge, MA: Da  Capo Press, Hachette Book Group, Cambridge, MA, 2005Da Capo Press, IncorporatedHachette BooksHachette GO1st ed., Cambridge, MA, Massachusetts,  20051st Da Capo Press ed,  Cambridge, MA, Â©2005United States,  United States of AmericaFirst  Edition, US, 2005', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('2005', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('ia/runawayamericand00gute.pdf', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('ðŸš€/duxiu/ia', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('en', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('ðŸ“—\xa0Book  (unknown)', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('pdf', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('15.0MB', '/md5/885899753bb97ce84d23cfb7ff8e120b')","('', '/md5/885899753bb97ce84d23cfb7ff8e120b')"
"('', '/md5/d81d52702d98622593f9555ace9a4854')","('Glory days : Bruce  Springsteen in the 1980s', '/md5/d81d52702d98622593f9555ace9a4854')","('Marsh, DaveDave Marsh', '/md5/d81d52702d98622593f9555ace9a4854')","('New York: Pantheon  Books, 1st ed., New York, New York State, 1987Alfred A. Knopf Books for Young  ReadersRandom House,  IncorporatedRandom House  AudioBooksUnited States, United  States of America1st ed, New York,  c1987New York, Unknown,  19871st ed, NY, 19751st, 1987-04-12', '/md5/d81d52702d98622593f9555ace9a4854')","('19871975', '/md5/d81d52702d98622593f9555ace9a4854')","('ia/glorydaysbruces00mars.pdf', '/md5/d81d52702d98622593f9555ace9a4854')","('ðŸš€/duxiu/ia', '/md5/d81d52702d98622593f9555ace9a4854')","('en', '/md5/d81d52702d98622593f9555ace9a4854')","('ðŸ“—\xa0Book  (unknown)', '/md5/d81d52702d98622593f9555ace9a4854')","('pdf', '/md5/d81d52702d98622593f9555ace9a4854')","('27.9MB', '/md5/d81d52702d98622593f9555ace9a4854')","('', '/md5/d81d52702d98622593f9555ace9a4854')"
"('', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('American Lonesome :  The Work of Bruce Springsteen', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('Cologne-Brookes,  Gavin;Springsteen, BruceGavin Cologne-Brookes;  Project Muse', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('LSU Press; Louisiana  State University Press, Lightning Source (Tier 4), Baton Rouge, 2018Book collections on Project MUSE, Baton Rouge,  2018United States, United States of  AmericaNov 14, 20181, 20181114FR, 2018', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('2018', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('upload/bibliotik/A/American Lonesome_ The Work of Bruce Springsteen (ULouisiana) - Gavin Cologne-Brookes (retail).epublgli/Z:\\Bibliotik_\\14\\A\\%&Ovr0\\American Lonesome_ The Work of Bruce Springsteen (ULouisiana) - Gavin Cologne-Brookes (retail).epublgrsnf/Z:\\Bibliotik_\\14\\A\\%&Ovr0\\American Lonesome_ The Work of Bruce Springsteen (ULouisiana) - Gavin Cologne-Brookes (retail).epubnexusstc/American lonesome: the work of Bruce Springsteen/389c2dadcb553b36c5ba649c1199cf4b.epubzlib/Arts/Music/Cologne-Brookes, Gavin;Springsteen, Bruce/American lonesome: the work of Bruce Springsteen_5687068.epub', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('ðŸš€/lgli/lgrs/nexusstc/upload/zlib', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('en', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('ðŸ“˜\xa0Book  (non-fiction)', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('epub', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('2.4MB', '/md5/389c2dadcb553b36c5ba649c1199cf4b')","('', '/md5/389c2dadcb553b36c5ba649c1199cf4b')"
"('', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('Glory days : Bruce  Springsteen in the 1980s', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('Marsh, DaveDave Marsh', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('New York: Pantheon  Books, 1st ed., New York, New York State, 1987Alfred A. Knopf Books for Young  ReadersRandom House,  IncorporatedRandom House  AudioBooksUnited States, United  States of America1st ed, New York,  c1987New York, Unknown,  19871st ed, NY, 19751st, 1987-04-12', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('19871975', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('ia/glorydaysbrucesp0000mars.pdf', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('ðŸš€/duxiu/ia', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('en', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('ðŸ“—\xa0Book  (unknown)', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('pdf', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('36.0MB', '/md5/d31dae69436b4ef54da15fca4ef6f658')","('', '/md5/d31dae69436b4ef54da15fca4ef6f658')"
"('', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('Bruce Springsteen :  glory days - 50 years of dreaming', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('VARIOUS  AUTHORS.', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('Danann Media  Publishing Limited, Great Britain?, 2018[United States]: Encore BooksUnknown PublisherFHE LimitedUnited Kingdom and Ireland, United  KingdomUnited States,  2017England, 2017PS, 2017', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('20182017', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('ia/brucespringsteen0000unse_h0n5.pdf', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('ðŸš€/ia', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('en', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('ðŸ“—\xa0Book  (unknown)', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('pdf', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('14.3MB', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')","('', '/md5/24af55d3116e775f89f06bbd3c0dd3d9')"
"('', '/md5/2b768a199013b70fc6d580e0be66e987')","('Bruce Springsteen:  The Illustrated Biography (Illustrated Biography Collectors)', '/md5/2b768a199013b70fc6d580e0be66e987')","('Chris RushbyRushby, Chris', '/md5/2b768a199013b70fc6d580e0be66e987')","('Transatlantic Press,  Croxley Green, England, 2012Atlantic  Publishing, Croxley GreenCroxley  Green: Trans AtlanticUnited Kingdom  and Ireland, United KingdomCollectors ed, PS, 2014', '/md5/2b768a199013b70fc6d580e0be66e987')","('20122014', '/md5/2b768a199013b70fc6d580e0be66e987')","('ia/brucespringsteen0000rush.pdf', '/md5/2b768a199013b70fc6d580e0be66e987')","('ðŸš€/ia', '/md5/2b768a199013b70fc6d580e0be66e987')","('en', '/md5/2b768a199013b70fc6d580e0be66e987')","('ðŸ“—\xa0Book  (unknown)', '/md5/2b768a199013b70fc6d580e0be66e987')","('pdf', '/md5/2b768a199013b70fc6d580e0be66e987')","('26.3MB', '/md5/2b768a199013b70fc6d580e0be66e987')","('', '/md5/2b768a199013b70fc6d580e0be66e987')"
"('', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('Glory days : the  Bruce Springsteen story. Volume 2Glory Days:  The Bruce Springsteen Story (Marsh, Dave. Bruce Springsteen Story, V.  2.)', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('Marsh, DaveDave Marsh', '/md5/396c254e5e49cdf72d0bef8383123cb0')","(""New York, NY:  Thunder's Mouth Press, The Bruce Springsteen story ;, v. 2, New York, NY, New York  State, 1996Avalon Publishing GroupBasic BooksBruce Springsteen story, Thunder's Mouth Press  ed, New York, N.Y, Â©1996The Bruce  Springsteen story, New York, NY, c1996United States, United States of  America3rd ed, New York, N.Y,  Â©1996"", '/md5/396c254e5e49cdf72d0bef8383123cb0')","('1996', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('ia/glorydays0000mars.pdf', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('ðŸš€/ia', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('en', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('ðŸ“—\xa0Book  (unknown)', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('pdf', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('27.4MB', '/md5/396c254e5e49cdf72d0bef8383123cb0')","('', '/md5/396c254e5e49cdf72d0bef8383123cb0')"
"('', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","(""Bruce Springsteen  and the Promise of Rock 'n' Roll"", '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('Dolan,  Marc;Springsteen, BruceMarc  Dolan', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('W. W. Norton &  Company, Incorporated, 1st ed., New York, New York State, 2012Norton & Company, Incorporated, W.  W.Norton Professional  BooksUnited States, United States  of America1st ed, New York, cop.  2012First Edition, FR,  2012New York, 20131, 20120604', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('20122013', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","(""nexusstc/Bruce Springsteen and the Promise of Rock 'n' Roll/72b7df02b38699a6c1b3f4f2b8ff69ca.epublgrsnf/Marc_Dolan_-_Bruce_Springsteen_and_the_Promise_of_Rock_n_Roll.epubzlib/Arts/Marc Dolan/Bruce Springsteen and the Promise of Rock 'n' Roll_11033153.epub"", '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('ðŸš€/lgli/lgrs/nexusstc/zlib', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('en', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('ðŸ“˜\xa0Book  (non-fiction)', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('epub', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('1.4MB', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')","('', '/md5/72b7df02b38699a6c1b3f4f2b8ff69ca')"
"('', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('Long walk home :  reflections on Bruce Springsteen at 70', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('Jonathan D. Cohen;  Jim Cullen; June Skinner Sawyers; Natalie Adler; Eric Alterman; Regina Barreca; Nancy  Bishop; Dermot Bolger; Peter Ames Carlin; Jefferson CowieCohen, Jonathan D.; Sawyers, June Skinner;  Adler, Natalie; Alterman, Eric; Barreca, Regina; Bishop, Nancy; Bolger, Dermot;  Carlin, Peter Ames; Cowie, Jefferson; Cullen, Jim; Dinerstein, Joel; Gaar, Gillian  G.; Joseph, Martyn; Iyer, Deepa; Marcus, Greil; Masur, Louis; Muldoon, Paul; Onkey,  Lauren; Russo, Richard; Scott, A. O.; Sheehy, Colleen; Stace, Wesley; Stefanko,  Frank; Streight, Irwin; Swan, Wayne; Ulin, David L.; Wald, Elijah; Wolff, Daniel;  Womack, KennethJonathan D. Cohen;  Natalie Adler; Eric Alterman; Regina Barreca; Nancy Bishop; Dermot Bolger; Peter  Ames Carlin; Jefferson R. Cowie; Jim Cullen; Joel Dinerstein; Gillian G. Gaar;  Martyn Joseph; Deepa Iyer; Greil Marcus; Professor Louis Masur; Paul Muldoon; Lauren  Onkey; Richard Russo; A.O. Scott; Colleen Sheehy; Wesley Stace; Frank Stefanko;  Irwin Streight; Wayne Swan; David L. Ulin; Elijah Wald; Daniel Wolff; Kenneth  Womack; June Skinner SawyersJonathan D. Cohen; June Skinner Sawyers; Natalie  Adler; Eric Alterman; Regina Barreca; Nancy Bishop; Dermot Bolger; Peter Ames  Carlin; Jefferson Cowie; Jim Cullen; Joel Dinerstein; Gillian G. Gaar; Martyn  Joseph; Deepa Iyer; Greil Marcus; Louis Masur; Paul Muldoon; Lauren Onkey; Richard  Russo; A. O. Scott; Colleen Sheehy; Wesley Stace; Frank Stefanko; Irwin Streight;  Wayne Swan; David L. Ulin; Elijah Wald; Daniel Wolff; Kenneth WomackNatalie Adler; Eric Alterman; Regina Barreca;  Nancy Bishop; Dermot Bolger; Peter Ames Carlin; Jonathan D Cohen; Jefferson Cowie;  Jim Cullen; Joel DinersteinJonathan  D. Cohen and June Skinner Sawyers (Editors)', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('Rutgers University  Press, 1, 20190923Rutgers University Press,  New Brunswick, 2019United States,  United States of AmericaNew  Brunswick, NJ, 2019None, PS,  2019', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('2019', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('upload/newsarch_ebooks_2025_10/2023/08/23/1978805268.pdfnexusstc/Long Walk Home: Reflections on Bruce Springsteen/6efce0bc39d584c0e311b4427eb8b22c.pdflgli/Long Walk Home_ Reflections on Bruce Springsteen - Jonathan D. Cohen.pdflgrsnf/Long Walk Home_ Reflections on Bruce Springsteen - Jonathan D. Cohen.pdfzlib/no-category/Jonathan D. Cohen; Jim Cullen; June Skinner Sawyers; Natalie Adler; Eric Alterman; Regina Barreca; Nancy Bishop; Dermot Bolger; Peter Ames Carlin; Jefferson Cowie/Long Walk Home : Reflections on Bruce Springsteen_25828153.pdf', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('ðŸš€/lgli/lgrs/nexusstc/upload/zlib', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('en', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('ðŸ“˜\xa0Book  (non-fiction)', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('pdf', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('16.2MB', '/md5/6efce0bc39d584c0e311b4427eb8b22c')","('', '/md5/6efce0bc39d584c0e311b4427eb8b22c')"
